es,algorithm,trial_seed,hparams_seed,seed
val,ERM,0,0,860079028
val,ERM,0,1,1495814286
val,ERM,0,2,121714230
val,ERM,0,3,413258898
val,ERM,0,4,1608650976
val,ERM,0,5,279179310
val,ERM,0,6,712707815
val,ERM,0,7,198410439
val,ERM,0,8,1907190073
val,ERM,0,9,125233470
val,ERM,1,0,1050966742
val,ERM,1,1,398652386
val,ERM,1,2,500673227
val,ERM,1,3,1829237679
val,ERM,1,4,2026571737
val,ERM,1,5,161459300
val,ERM,1,6,819635402
val,ERM,1,7,1373633885
val,ERM,1,8,375721630
val,ERM,1,9,806089759
val,ERM,2,0,1605255755
val,ERM,2,1,991536972
val,ERM,2,2,1702548119
val,ERM,2,3,502101179
val,ERM,2,4,405278372
val,ERM,2,5,1757411462
val,ERM,2,6,507042409
val,ERM,2,7,993738571
val,ERM,2,8,1566707654
val,ERM,2,9,2029537425
val,ERM,3,0,2011641561
val,ERM,3,1,1827426542
val,ERM,3,2,675442371
val,ERM,3,3,1081238836
val,ERM,3,4,621037284
val,ERM,3,5,1417902668
val,ERM,3,6,934153126
val,ERM,3,7,746565902
val,ERM,3,8,1370910725
val,ERM,3,9,1961200330
val,ERM,4,0,1326841949
val,ERM,4,1,1552829182
val,ERM,4,2,159918851
val,ERM,4,3,2038881026
val,ERM,4,4,485312454
val,ERM,4,5,1321403304
val,ERM,4,6,567255923
val,ERM,4,7,757594725
val,ERM,4,8,1781743251
val,ERM,4,9,179407924
val,IRM,0,0,2044377380
val,IRM,0,1,1045399646
val,IRM,0,2,2101946228
val,IRM,0,3,1418233000
val,IRM,0,4,577189120
val,IRM,0,5,1863012169
val,IRM,0,6,387262888
val,IRM,0,7,1351469894
val,IRM,0,8,1715613740
val,IRM,0,9,208281481
val,IRM,1,0,732505092
val,IRM,1,1,696904022
val,IRM,1,2,668862865
val,IRM,1,3,779172497
val,IRM,1,4,250038889
val,IRM,1,5,476152741
val,IRM,1,6,1784256650
val,IRM,1,7,1581924774
val,IRM,1,8,892009791
val,IRM,1,9,1945469548
val,IRM,2,0,1527731098
val,IRM,2,1,2021833615
val,IRM,2,2,1236983211
val,IRM,2,3,737873597
val,IRM,2,4,380512425
val,IRM,2,5,546641985
val,IRM,2,6,1490183294
val,IRM,2,7,1166808989
val,IRM,2,8,957278531
val,IRM,2,9,92357196
val,IRM,3,0,1007642396
val,IRM,3,1,1894820671
val,IRM,3,2,14545464
val,IRM,3,3,1954839294
val,IRM,3,4,713239462
val,IRM,3,5,1984871089
val,IRM,3,6,2003643321
val,IRM,3,7,898922070
val,IRM,3,8,9647008
val,IRM,3,9,817234445
val,IRM,4,0,44949148
val,IRM,4,1,1929382584
val,IRM,4,2,71913550
val,IRM,4,3,177553244
val,IRM,4,4,1352739166
val,IRM,4,5,1967436626
val,IRM,4,6,223860179
val,IRM,4,7,206224316
val,IRM,4,8,41172397
val,IRM,4,9,491601696
