hparams_seed,algorithm,test_env,val_env,trial,seed
12,ERMMerged,all,train,0,1850663541
12,ERMMerged,all,train,1,1802208826
12,ERMMerged,all,train,2,274501098
12,ERMMerged,all,train,3,728323767
12,ERMMerged,all,train,4,2000051703
12,ERMMerged,all,train,5,1606977441
12,ERMMerged,all,train,6,2070338149
12,ERMMerged,all,train,7,1565314336
12,ERMMerged,all,train,8,483633484
12,ERMMerged,all,train,9,1973776326
12,ERMID,miiv,train,0,423592227
12,ERMID,miiv,train,1,332124566
12,ERMID,miiv,train,2,389520458
12,ERMID,miiv,train,3,168451804
12,ERMID,miiv,train,4,2065828998
12,ERMID,miiv,train,5,773021757
12,ERMID,miiv,train,6,105652213
12,ERMID,miiv,train,7,1740959688
12,ERMID,miiv,train,8,103694360
12,ERMID,miiv,train,9,548969012
20,ERM,miiv,train,0,33179021
20,ERM,miiv,train,1,1905688641
20,ERM,miiv,train,2,276852187
20,ERM,miiv,train,3,579459433
20,ERM,miiv,train,4,1878555311
20,ERM,miiv,train,5,1383239863
20,ERM,miiv,train,6,1721233698
20,ERM,miiv,train,7,507918395
20,ERM,miiv,train,8,2005190154
20,ERM,miiv,train,9,1434079551
12,ERMID,eicu,train,0,423592227
12,ERMID,eicu,train,1,332124566
12,ERMID,eicu,train,2,389520458
12,ERMID,eicu,train,3,168451804
12,ERMID,eicu,train,4,2065828998
12,ERMID,eicu,train,5,773021757
12,ERMID,eicu,train,6,105652213
12,ERMID,eicu,train,7,1740959688
12,ERMID,eicu,train,8,103694360
12,ERMID,eicu,train,9,548969012
20,ERM,eicu,train,0,33179021
20,ERM,eicu,train,1,1905688641
20,ERM,eicu,train,2,276852187
20,ERM,eicu,train,3,579459433
20,ERM,eicu,train,4,1878555311
20,ERM,eicu,train,5,1383239863
20,ERM,eicu,train,6,1721233698
20,ERM,eicu,train,7,507918395
20,ERM,eicu,train,8,2005190154
20,ERM,eicu,train,9,1434079551
12,ERMID,hirid,train,0,423592227
12,ERMID,hirid,train,1,332124566
12,ERMID,hirid,train,2,389520458
12,ERMID,hirid,train,3,168451804
12,ERMID,hirid,train,4,2065828998
12,ERMID,hirid,train,5,773021757
12,ERMID,hirid,train,6,105652213
12,ERMID,hirid,train,7,1740959688
12,ERMID,hirid,train,8,103694360
12,ERMID,hirid,train,9,548969012
20,ERM,hirid,train,0,33179021
20,ERM,hirid,train,1,1905688641
20,ERM,hirid,train,2,276852187
20,ERM,hirid,train,3,579459433
20,ERM,hirid,train,4,1878555311
20,ERM,hirid,train,5,1383239863
20,ERM,hirid,train,6,1721233698
20,ERM,hirid,train,7,507918395
20,ERM,hirid,train,8,2005190154
20,ERM,hirid,train,9,1434079551
20,ERMID,aumc,train,0,856533736
20,ERMID,aumc,train,1,2117685648
20,ERMID,aumc,train,2,1257139177
20,ERMID,aumc,train,3,444223166
20,ERMID,aumc,train,4,21534696
20,ERMID,aumc,train,5,953893296
20,ERMID,aumc,train,6,936219025
20,ERMID,aumc,train,7,1351159617
20,ERMID,aumc,train,8,1590603508
20,ERMID,aumc,train,9,790224637
12,ERM,aumc,train,0,1198796461
12,ERM,aumc,train,1,1624449992
12,ERM,aumc,train,2,1443823860
12,ERM,aumc,train,3,1492762717
12,ERM,aumc,train,4,787648008
12,ERM,aumc,train,5,733786106
12,ERM,aumc,train,6,1331749472
12,ERM,aumc,train,7,159311283
12,ERM,aumc,train,8,1360497840
12,ERM,aumc,train,9,1218638932
