hparams_seed,algorithm,test_env,val_env,trial,seed
14,ERMMerged,all,train,0,1940650457
14,ERMMerged,all,train,1,569243800
14,ERMMerged,all,train,2,203463291
14,ERMMerged,all,train,3,308536865
14,ERMMerged,all,train,4,171873628
14,ERMMerged,all,train,5,1463156143
14,ERMMerged,all,train,6,86619450
14,ERMMerged,all,train,7,2091310426
14,ERMMerged,all,train,8,1978737739
14,ERMMerged,all,train,9,539685275
14,ERMID,miiv,train,0,1577061152
14,ERMID,miiv,train,1,23830222
14,ERMID,miiv,train,2,169732266
14,ERMID,miiv,train,3,1130056225
14,ERMID,miiv,train,4,292397462
14,ERMID,miiv,train,5,167600974
14,ERMID,miiv,train,6,1807986484
14,ERMID,miiv,train,7,1472418119
14,ERMID,miiv,train,8,147084742
14,ERMID,miiv,train,9,989961374
25,ERM,miiv,train,0,170049525
25,ERM,miiv,train,1,2075911243
25,ERM,miiv,train,2,1228772581
25,ERM,miiv,train,3,99567700
25,ERM,miiv,train,4,1514120056
25,ERM,miiv,train,5,180179089
25,ERM,miiv,train,6,727813072
25,ERM,miiv,train,7,2119305416
25,ERM,miiv,train,8,678403866
25,ERM,miiv,train,9,961229207
20,ERMID,eicu,train,0,856533736
20,ERMID,eicu,train,1,2117685648
20,ERMID,eicu,train,2,1257139177
20,ERMID,eicu,train,3,444223166
20,ERMID,eicu,train,4,21534696
20,ERMID,eicu,train,5,953893296
20,ERMID,eicu,train,6,936219025
20,ERMID,eicu,train,7,1351159617
20,ERMID,eicu,train,8,1590603508
20,ERMID,eicu,train,9,790224637
14,ERM,eicu,train,0,833848250
14,ERM,eicu,train,1,316781160
14,ERM,eicu,train,2,924068439
14,ERM,eicu,train,3,1891322271
14,ERM,eicu,train,4,1295042923
14,ERM,eicu,train,5,120030924
14,ERM,eicu,train,6,2020084132
14,ERM,eicu,train,7,387088511
14,ERM,eicu,train,8,1460731817
14,ERM,eicu,train,9,2000153423
14,ERMID,hirid,train,0,1577061152
14,ERMID,hirid,train,1,23830222
14,ERMID,hirid,train,2,169732266
14,ERMID,hirid,train,3,1130056225
14,ERMID,hirid,train,4,292397462
14,ERMID,hirid,train,5,167600974
14,ERMID,hirid,train,6,1807986484
14,ERMID,hirid,train,7,1472418119
14,ERMID,hirid,train,8,147084742
14,ERMID,hirid,train,9,989961374
20,ERM,hirid,train,0,33179021
20,ERM,hirid,train,1,1905688641
20,ERM,hirid,train,2,276852187
20,ERM,hirid,train,3,579459433
20,ERM,hirid,train,4,1878555311
20,ERM,hirid,train,5,1383239863
20,ERM,hirid,train,6,1721233698
20,ERM,hirid,train,7,507918395
20,ERM,hirid,train,8,2005190154
20,ERM,hirid,train,9,1434079551
26,ERMID,aumc,train,0,1883031257
26,ERMID,aumc,train,1,115664599
26,ERMID,aumc,train,2,1713588389
26,ERMID,aumc,train,3,82156359
26,ERMID,aumc,train,4,155585752
26,ERMID,aumc,train,5,1776183609
26,ERMID,aumc,train,6,775554803
26,ERMID,aumc,train,7,740779814
26,ERMID,aumc,train,8,1160179790
26,ERMID,aumc,train,9,1509772603
20,ERM,aumc,train,0,33179021
20,ERM,aumc,train,1,1905688641
20,ERM,aumc,train,2,276852187
20,ERM,aumc,train,3,579459433
20,ERM,aumc,train,4,1878555311
20,ERM,aumc,train,5,1383239863
20,ERM,aumc,train,6,1721233698
20,ERM,aumc,train,7,507918395
20,ERM,aumc,train,8,2005190154
20,ERM,aumc,train,9,1434079551
