hparams_seed,algorithm,test_env,val_env,trial,seed
14,ERMMerged,all,train,0,1940650457
14,ERMMerged,all,train,1,569243800
14,ERMMerged,all,train,2,203463291
14,ERMMerged,all,train,3,308536865
14,ERMMerged,all,train,4,171873628
14,ERMMerged,all,train,5,1463156143
14,ERMMerged,all,train,6,86619450
14,ERMMerged,all,train,7,2091310426
14,ERMMerged,all,train,8,1978737739
14,ERMMerged,all,train,9,539685275
29,ERMID,miiv,train,0,1970416947
29,ERMID,miiv,train,1,2091211951
29,ERMID,miiv,train,2,200790835
29,ERMID,miiv,train,3,1241111743
29,ERMID,miiv,train,4,1658566045
29,ERMID,miiv,train,5,337554270
29,ERMID,miiv,train,6,2126180957
29,ERMID,miiv,train,7,1499067079
29,ERMID,miiv,train,8,1647461268
29,ERMID,miiv,train,9,64571627
26,ERM,miiv,train,0,1325793644
26,ERM,miiv,train,1,1189322987
26,ERM,miiv,train,2,934523866
26,ERM,miiv,train,3,1527555466
26,ERM,miiv,train,4,676023208
26,ERM,miiv,train,5,1569370329
26,ERM,miiv,train,6,1590135917
26,ERM,miiv,train,7,1787905370
26,ERM,miiv,train,8,1857616494
26,ERM,miiv,train,9,1194215727
29,ERMID,eicu,train,0,1970416947
29,ERMID,eicu,train,1,2091211951
29,ERMID,eicu,train,2,200790835
29,ERMID,eicu,train,3,1241111743
29,ERMID,eicu,train,4,1658566045
29,ERMID,eicu,train,5,337554270
29,ERMID,eicu,train,6,2126180957
29,ERMID,eicu,train,7,1499067079
29,ERMID,eicu,train,8,1647461268
29,ERMID,eicu,train,9,64571627
19,ERM,eicu,train,0,661361409
19,ERM,eicu,train,1,2004101058
19,ERM,eicu,train,2,1507057760
19,ERM,eicu,train,3,987830828
19,ERM,eicu,train,4,1997656995
19,ERM,eicu,train,5,1655292424
19,ERM,eicu,train,6,1098494300
19,ERM,eicu,train,7,1156151255
19,ERM,eicu,train,8,1093784221
19,ERM,eicu,train,9,390938854
7,ERMID,hirid,train,0,1338960745
7,ERMID,hirid,train,1,389048332
7,ERMID,hirid,train,2,2969072
7,ERMID,hirid,train,3,1149970223
7,ERMID,hirid,train,4,105662905
7,ERMID,hirid,train,5,2111667449
7,ERMID,hirid,train,6,210161859
7,ERMID,hirid,train,7,775413926
7,ERMID,hirid,train,8,123769286
7,ERMID,hirid,train,9,2034977025
26,ERM,hirid,train,0,1325793644
26,ERM,hirid,train,1,1189322987
26,ERM,hirid,train,2,934523866
26,ERM,hirid,train,3,1527555466
26,ERM,hirid,train,4,676023208
26,ERM,hirid,train,5,1569370329
26,ERM,hirid,train,6,1590135917
26,ERM,hirid,train,7,1787905370
26,ERM,hirid,train,8,1857616494
26,ERM,hirid,train,9,1194215727
26,ERMID,aumc,train,0,1883031257
26,ERMID,aumc,train,1,115664599
26,ERMID,aumc,train,2,1713588389
26,ERMID,aumc,train,3,82156359
26,ERMID,aumc,train,4,155585752
26,ERMID,aumc,train,5,1776183609
26,ERMID,aumc,train,6,775554803
26,ERMID,aumc,train,7,740779814
26,ERMID,aumc,train,8,1160179790
26,ERMID,aumc,train,9,1509772603
26,ERM,aumc,train,0,1325793644
26,ERM,aumc,train,1,1189322987
26,ERM,aumc,train,2,934523866
26,ERM,aumc,train,3,1527555466
26,ERM,aumc,train,4,676023208
26,ERM,aumc,train,5,1569370329
26,ERM,aumc,train,6,1590135917
26,ERM,aumc,train,7,1787905370
26,ERM,aumc,train,8,1857616494
26,ERM,aumc,train,9,1194215727
