hparams_seed,algorithm,test_env,val_env,trial,seed
1,ERM,miiv,eicu,0,2065297644
1,ERM,miiv,eicu,1,301832041
1,ERM,miiv,eicu,2,1404871283
1,ERM,miiv,eicu,3,2141485529
1,ERM,miiv,eicu,4,1481524535
1,ERM,miiv,hirid,0,2065297644
1,ERM,miiv,hirid,1,301832041
1,ERM,miiv,hirid,2,1404871283
1,ERM,miiv,hirid,3,2141485529
1,ERM,miiv,hirid,4,1481524535
1,ERM,miiv,aumc,0,2065297644
1,ERM,miiv,aumc,1,301832041
1,ERM,miiv,aumc,2,1404871283
1,ERM,miiv,aumc,3,2141485529
1,ERM,miiv,aumc,4,1481524535
1,ERM,eicu,miiv,0,2065297644
1,ERM,eicu,miiv,1,301832041
1,ERM,eicu,miiv,2,1404871283
1,ERM,eicu,miiv,3,2141485529
1,ERM,eicu,miiv,4,1481524535
1,ERM,eicu,hirid,0,2065297644
1,ERM,eicu,hirid,1,301832041
1,ERM,eicu,hirid,2,1404871283
1,ERM,eicu,hirid,3,2141485529
1,ERM,eicu,hirid,4,1481524535
1,ERM,eicu,aumc,0,2065297644
1,ERM,eicu,aumc,1,301832041
1,ERM,eicu,aumc,2,1404871283
1,ERM,eicu,aumc,3,2141485529
1,ERM,eicu,aumc,4,1481524535
1,ERM,hirid,miiv,0,2065297644
1,ERM,hirid,miiv,1,301832041
1,ERM,hirid,miiv,2,1404871283
1,ERM,hirid,miiv,3,2141485529
1,ERM,hirid,miiv,4,1481524535
1,ERM,hirid,eicu,0,2065297644
1,ERM,hirid,eicu,1,301832041
1,ERM,hirid,eicu,2,1404871283
1,ERM,hirid,eicu,3,2141485529
1,ERM,hirid,eicu,4,1481524535
1,ERM,hirid,aumc,0,2065297644
1,ERM,hirid,aumc,1,301832041
1,ERM,hirid,aumc,2,1404871283
1,ERM,hirid,aumc,3,2141485529
1,ERM,hirid,aumc,4,1481524535
1,ERM,aumc,miiv,0,2065297644
1,ERM,aumc,miiv,1,301832041
1,ERM,aumc,miiv,2,1404871283
