hparams_seed,algorithm,test_env,val_env,trial,seed
20,ERMMerged,all,train,0,1555570936
20,ERMMerged,all,train,1,383259255
20,ERMMerged,all,train,2,2007659022
20,ERMMerged,all,train,3,636861558
20,ERMMerged,all,train,4,318666538
20,ERMMerged,all,train,5,469335664
20,ERMMerged,all,train,6,1414408952
20,ERMMerged,all,train,7,1817761346
20,ERMMerged,all,train,8,1547372007
20,ERMMerged,all,train,9,1682126981
12,ERMID,miiv,train,0,423592227
12,ERMID,miiv,train,1,332124566
12,ERMID,miiv,train,2,389520458
12,ERMID,miiv,train,3,168451804
12,ERMID,miiv,train,4,2065828998
12,ERMID,miiv,train,5,773021757
12,ERMID,miiv,train,6,105652213
12,ERMID,miiv,train,7,1740959688
12,ERMID,miiv,train,8,103694360
12,ERMID,miiv,train,9,548969012
12,ERM,miiv,train,0,1198796461
12,ERM,miiv,train,1,1624449992
12,ERM,miiv,train,2,1443823860
12,ERM,miiv,train,3,1492762717
12,ERM,miiv,train,4,787648008
12,ERM,miiv,train,5,733786106
12,ERM,miiv,train,6,1331749472
12,ERM,miiv,train,7,159311283
12,ERM,miiv,train,8,1360497840
12,ERM,miiv,train,9,1218638932
12,ERMID,eicu,train,0,423592227
12,ERMID,eicu,train,1,332124566
12,ERMID,eicu,train,2,389520458
12,ERMID,eicu,train,3,168451804
12,ERMID,eicu,train,4,2065828998
12,ERMID,eicu,train,5,773021757
12,ERMID,eicu,train,6,105652213
12,ERMID,eicu,train,7,1740959688
12,ERMID,eicu,train,8,103694360
12,ERMID,eicu,train,9,548969012
12,ERM,eicu,train,0,1198796461
12,ERM,eicu,train,1,1624449992
12,ERM,eicu,train,2,1443823860
12,ERM,eicu,train,3,1492762717
12,ERM,eicu,train,4,787648008
12,ERM,eicu,train,5,733786106
12,ERM,eicu,train,6,1331749472
12,ERM,eicu,train,7,159311283
12,ERM,eicu,train,8,1360497840
12,ERM,eicu,train,9,1218638932
12,ERMID,hirid,train,0,423592227
12,ERMID,hirid,train,1,332124566
12,ERMID,hirid,train,2,389520458
12,ERMID,hirid,train,3,168451804
12,ERMID,hirid,train,4,2065828998
12,ERMID,hirid,train,5,773021757
12,ERMID,hirid,train,6,105652213
12,ERMID,hirid,train,7,1740959688
12,ERMID,hirid,train,8,103694360
12,ERMID,hirid,train,9,548969012
12,ERM,hirid,train,0,1198796461
12,ERM,hirid,train,1,1624449992
12,ERM,hirid,train,2,1443823860
12,ERM,hirid,train,3,1492762717
12,ERM,hirid,train,4,787648008
12,ERM,hirid,train,5,733786106
12,ERM,hirid,train,6,1331749472
12,ERM,hirid,train,7,159311283
12,ERM,hirid,train,8,1360497840
12,ERM,hirid,train,9,1218638932
18,ERMID,aumc,train,0,459289864
18,ERMID,aumc,train,1,723240649
18,ERMID,aumc,train,2,1661324861
18,ERMID,aumc,train,3,461200839
18,ERMID,aumc,train,4,725900550
18,ERMID,aumc,train,5,534138940
18,ERMID,aumc,train,6,1517335896
18,ERMID,aumc,train,7,1325073219
18,ERMID,aumc,train,8,277678520
18,ERMID,aumc,train,9,788412712
12,ERM,aumc,train,0,1198796461
12,ERM,aumc,train,1,1624449992
12,ERM,aumc,train,2,1443823860
12,ERM,aumc,train,3,1492762717
12,ERM,aumc,train,4,787648008
12,ERM,aumc,train,5,733786106
12,ERM,aumc,train,6,1331749472
12,ERM,aumc,train,7,159311283
12,ERM,aumc,train,8,1360497840
12,ERM,aumc,train,9,1218638932
