hparams_seed,algorithm,test_env,val_env,trial,seed
20,ERMMerged,all,train,0,1555570936
20,ERMMerged,all,train,1,383259255
20,ERMMerged,all,train,2,2007659022
20,ERMMerged,all,train,3,636861558
20,ERMMerged,all,train,4,318666538
20,ERMMerged,all,train,5,469335664
20,ERMMerged,all,train,6,1414408952
20,ERMMerged,all,train,7,1817761346
20,ERMMerged,all,train,8,1547372007
20,ERMMerged,all,train,9,1682126981
26,ERMID,miiv,train,0,1883031257
26,ERMID,miiv,train,1,115664599
26,ERMID,miiv,train,2,1713588389
26,ERMID,miiv,train,3,82156359
26,ERMID,miiv,train,4,155585752
26,ERMID,miiv,train,5,1776183609
26,ERMID,miiv,train,6,775554803
26,ERMID,miiv,train,7,740779814
26,ERMID,miiv,train,8,1160179790
26,ERMID,miiv,train,9,1509772603
19,ERM,miiv,train,0,661361409
19,ERM,miiv,train,1,2004101058
19,ERM,miiv,train,2,1507057760
19,ERM,miiv,train,3,987830828
19,ERM,miiv,train,4,1997656995
19,ERM,miiv,train,5,1655292424
19,ERM,miiv,train,6,1098494300
19,ERM,miiv,train,7,1156151255
19,ERM,miiv,train,8,1093784221
19,ERM,miiv,train,9,390938854
20,ERMID,eicu,train,0,856533736
20,ERMID,eicu,train,1,2117685648
20,ERMID,eicu,train,2,1257139177
20,ERMID,eicu,train,3,444223166
20,ERMID,eicu,train,4,21534696
20,ERMID,eicu,train,5,953893296
20,ERMID,eicu,train,6,936219025
20,ERMID,eicu,train,7,1351159617
20,ERMID,eicu,train,8,1590603508
20,ERMID,eicu,train,9,790224637
26,ERM,eicu,train,0,1325793644
26,ERM,eicu,train,1,1189322987
26,ERM,eicu,train,2,934523866
26,ERM,eicu,train,3,1527555466
26,ERM,eicu,train,4,676023208
26,ERM,eicu,train,5,1569370329
26,ERM,eicu,train,6,1590135917
26,ERM,eicu,train,7,1787905370
26,ERM,eicu,train,8,1857616494
26,ERM,eicu,train,9,1194215727
14,ERMID,hirid,train,0,1577061152
14,ERMID,hirid,train,1,23830222
14,ERMID,hirid,train,2,169732266
14,ERMID,hirid,train,3,1130056225
14,ERMID,hirid,train,4,292397462
14,ERMID,hirid,train,5,167600974
14,ERMID,hirid,train,6,1807986484
14,ERMID,hirid,train,7,1472418119
14,ERMID,hirid,train,8,147084742
14,ERMID,hirid,train,9,989961374
20,ERM,hirid,train,0,33179021
20,ERM,hirid,train,1,1905688641
20,ERM,hirid,train,2,276852187
20,ERM,hirid,train,3,579459433
20,ERM,hirid,train,4,1878555311
20,ERM,hirid,train,5,1383239863
20,ERM,hirid,train,6,1721233698
20,ERM,hirid,train,7,507918395
20,ERM,hirid,train,8,2005190154
20,ERM,hirid,train,9,1434079551
26,ERMID,aumc,train,0,1883031257
26,ERMID,aumc,train,1,115664599
26,ERMID,aumc,train,2,1713588389
26,ERMID,aumc,train,3,82156359
26,ERMID,aumc,train,4,155585752
26,ERMID,aumc,train,5,1776183609
26,ERMID,aumc,train,6,775554803
26,ERMID,aumc,train,7,740779814
26,ERMID,aumc,train,8,1160179790
26,ERMID,aumc,train,9,1509772603
20,ERM,aumc,train,0,33179021
20,ERM,aumc,train,1,1905688641
20,ERM,aumc,train,2,276852187
20,ERM,aumc,train,3,579459433
20,ERM,aumc,train,4,1878555311
20,ERM,aumc,train,5,1383239863
20,ERM,aumc,train,6,1721233698
20,ERM,aumc,train,7,507918395
20,ERM,aumc,train,8,2005190154
20,ERM,aumc,train,9,1434079551
